"GEO","TIME","SEX","ISCED11","AGE","UNIT","Value"
"SK","2011","T","ED0-2","Y15-74","PC_ACT","42.5"
"FI","2011","T","ED0-2","Y15-74","PC_ACT","16.1"
"SE","2011","T","ED0-2","Y15-74","PC_ACT","16.5"
"UK","2011","T","ED0-2","Y15-74","PC_ACT","14.1"
"IS","2011","T","ED0-2","Y15-74","PC_ACT","10.3"
"NO","2011","T","ED0-2","Y15-74","PC_ACT","6.9"
"CH","2011","T","ED0-2","Y15-74","PC_ACT","8.0"
"ME","2011","T","ED0-2","Y15-74","PC_ACT","30.3"
"MK","2011","T","ED0-2","Y15-74","PC_ACT","37.6"
"RS","2011","T","ED0-2","Y15-74","PC_ACT",":"
"TR","2011","T","ED0-2","Y15-74","PC_ACT","8.1"
"EU28","2012","T","ED0-2","Y15-74","PC_ACT","18.2"
"EU15","2012","T","ED0-2","Y15-74","PC_ACT","18.3"
"EA19","2012","T","ED0-2","Y15-74","PC_ACT","19.2"
"EA18","2012","T","ED0-2","Y15-74","PC_ACT","19.1"
"EA17","2012","T","ED0-2","Y15-74","PC_ACT","19.1"
"BE","2012","T","ED0-2","Y15-74","PC_ACT","14.0"
"BG","2012","T","ED0-2","Y15-74","PC_ACT","28.0"
"CZ","2012","T","ED0-2","Y15-74","PC_ACT","28.5"
"DK","2012","T","ED0-2","Y15-74","PC_ACT","11.7"
"DE","2012","T","ED0-2","Y15-74","PC_ACT","12.2"
"EE","2012","T","ED0-2","Y15-74","PC_ACT","23.1"
"IE","2012","T","ED0-2","Y15-74","PC_ACT","25.8"
"EL","2012","T","ED0-2","Y15-74","PC_ACT","26.0"
"ES","2012","T","ED0-2","Y15-74","PC_ACT","33.7"
"FR","2012","T","ED0-2","Y15-74","PC_ACT",":"
"FX","2012","T","ED0-2","Y15-74","PC_ACT","15.2"
"HR","2012","T","ED0-2","Y15-74","PC_ACT","18.6"
"IT","2012","T","ED0-2","Y15-74","PC_ACT","13.6"
"CY","2012","T","ED0-2","Y15-74","PC_ACT","13.4"
"LV","2012","T","ED0-2","Y15-74","PC_ACT","26.6"
"LT","2012","T","ED0-2","Y15-74","PC_ACT","34.7"
"LU","2012","T","ED0-2","Y15-74","PC_ACT","8.4"
"HU","2012","T","ED0-2","Y15-74","PC_ACT","24.8"
"MT","2012","T","ED0-2","Y15-74","PC_ACT","9.5"
"NL","2012","T","ED0-2","Y15-74","PC_ACT","9.3"
"AT","2012","T","ED0-2","Y15-74","PC_ACT","9.8"
"PL","2012","T","ED0-2","Y15-74","PC_ACT","19.5"
"PT","2012","T","ED0-2","Y15-74","PC_ACT","16.5"
"RO","2012","T","ED0-2","Y15-74","PC_ACT","6.7"
"SI","2012","T","ED0-2","Y15-74","PC_ACT","14.8"
"SK","2012","T","ED0-2","Y15-74","PC_ACT","44.6"
"FI","2012","T","ED0-2","Y15-74","PC_ACT","16.0"
"SE","2012","T","ED0-2","Y15-74","PC_ACT","17.6"
"UK","2012","T","ED0-2","Y15-74","PC_ACT","13.9"
"IS","2012","T","ED0-2","Y15-74","PC_ACT","10.3"
"NO","2012","T","ED0-2","Y15-74","PC_ACT","6.2"
"CH","2012","T","ED0-2","Y15-74","PC_ACT","7.8"
"ME","2012","T","ED0-2","Y15-74","PC_ACT","34.9"
"MK","2012","T","ED0-2","Y15-74","PC_ACT","37.8"
"RS","2012","T","ED0-2","Y15-74","PC_ACT",":"
"TR","2012","T","ED0-2","Y15-74","PC_ACT","7.5"
"EU28","2013","T","ED0-2","Y15-74","PC_ACT","19.2"
"EU15","2013","T","ED0-2","Y15-74","PC_ACT","19.5"
"EA19","2013","T","ED0-2","Y15-74","PC_ACT","20.5"
"EA18","2013","T","ED0-2","Y15-74","PC_ACT","20.5"
"EA17","2013","T","ED0-2","Y15-74","PC_ACT","20.5"
"BE","2013","T","ED0-2","Y15-74","PC_ACT","15.8"
"BG","2013","T","ED0-2","Y15-74","PC_ACT","29.9"
"CZ","2013","T","ED0-2","Y15-74","PC_ACT","25.6"
"DK","2013","T","ED0-2","Y15-74","PC_ACT","11.1"
"DE","2013","T","ED0-2","Y15-74","PC_ACT","11.9"
